id,character,name,element,learn,cost,target,kind,params,branch,text
e_light_3,e_light,빛막,light,2,2,ally-all,shieldAll,pct=0.1,,성 HP를 최대치의 10%만큼 회복합니다.
e_light_4,e_light,심판,light,3,3,enemy-area,judgment,amount=22;radius=2.4;darkBonus=1.5,,범위 안의 적에게 22 빛 피해를 줍니다.
e_light_5,e_light,정화,light,5,3,ally-all,cleanseHeal,amount=24,,성 HP를 24 회복하고 전장을 정화합니다.
e_light_6,e_light,신벌,light,7,3,enemy-area,judgment,amount=26;radius=2.6;darkBonus=1.6,,범위 안의 적에게 26 빛 피해를 줍니다.
e_light_7,e_light,대심판,light,9,3,enemy-area,judgment,amount=30;radius=2.6;darkBonus=1.8,,범위 안의 적에게 30 빛 피해를 줍니다.
e_light_8,e_light,하늘섬광,light,10,5,enemy-area,judgment,amount=30;radius=99;darkBonus=1.8,,맵 전체의 적에게 30 빛 피해를 줍니다.
e_dark_1,e_dark,그림자,dark,1,1,point,damage,amount=11;radius=1.2;mark=curse;markStacks=1,,11 피해와 저주 1중첩.
e_dark_2,e_dark,저주 표식,dark,1,1,enemy-area,markArea,mark=curse;stacks=2;radius=2.4,,범위 안의 적에게 저주 2중첩을 남깁니다.
e_dark_3,e_dark,약화,dark,2,2,enemy-area,defDown,pct=0.3;duration=6;radius=2.2,,6초 동안 범위 안의 적이 받는 피해를 30% 늘립니다.
e_dark_4,e_dark,어둠탄,dark,3,2,point,damage,amount=20;radius=1.8;mark=curse;markStacks=1,,범위 안의 적에게 20 피해와 저주를 줍니다.
e_dark_5,e_dark,방패의 저주,dark,5,2,enemy-area,defDown,pct=0.4;duration=8;radius=2.4,,8초 동안 범위 안의 적이 받는 피해를 40% 늘립니다.
e_dark_6,e_dark,흡수,dark,7,3,point,drain,amount=24;radius=2.4;drainPct=0.6,,범위 안의 적에게 24 피해를 주고 일부 피해만큼 성을 수리합니다.
e_dark_7,e_dark,저주 폭발,dark,9,3,point,damage,amount=26;radius=2.4;mark=curse;markStacks=2,,범위 안의 적에게 26 피해와 저주 2중첩.
e_dark_8,e_dark,밤사냥,dark,10,5,enemy-area,drain,amount=24;radius=99;drainPct=0.5,,맵 전체의 적에게 24 피해를 주고 일부 피해만큼 성을 수리합니다.
